bet_id,ts_utc,status,match_id,match_desc,selection,decimal_odds,model_prob_old,ev_old,clv_old,clv_corrected,clv_delta,basis
61,2026-06-13T12:55:00,lost,ACCA_A2_0004,Acca 4-fold: Switzerland+Brazil+Scotland+Turkey,SUI 1.18 x BRA 1.57 x SCO 1.44 x TUR 1.61,4.333,0.123999,-0.462712,,,,no corrected single-match model (prop/acca/outright)
62,2026-06-13T12:55:00,lost,ACCA_A2_0005,Acca treble (drop QAT): Brazil+Scotland+Turkey,BRA 1.57 x SCO 1.44 x TUR 1.61,3.667,0.161576,-0.407501,,,,no corrected single-match model (prop/acca/outright)
63,2026-06-13T12:55:00,lost,ACCA_A2_0006,Acca treble (drop BRA): Switzerland+Scotland+Turkey,SUI 1.16 x SCO 1.44 x TUR 1.61,2.722,0.222792,-0.39356,,,,no corrected single-match model (prop/acca/outright)
64,2026-06-13T12:55:00,lost,ACCA_A2_0007,Acca treble (drop HAI): Switzerland+Brazil+Turkey,SUI 1.16 x BRA 1.57 x TUR 1.61,2.962,0.205947,-0.389985,,,,no corrected single-match model (prop/acca/outright)
65,2026-06-13T12:55:00,lost,ACCA_A2_0008,Acca treble (drop AUS): Switzerland+Brazil+Scotland,SUI 1.16 x BRA 1.57 x SCO 1.44,2.648,0.257171,-0.319011,,,,no corrected single-match model (prop/acca/outright)
66,2026-06-13T13:48:29,lost,MANUAL_HAITI_V_SCOTLAND,Haiti v Scotland,Scott Mctominay to have 1 or more shots on target (including woodwork),2.0,,,,,,no corrected single-match model (prop/acca/outright)
67,2026-06-13T18:10:00,lost,BETFRED_BB_HAISCO,Haiti vs Scotland (Betfred BB qualifier),Scotland win & BTTS No & Over 1.5,3.94,,,,,,no corrected single-match model (prop/acca/outright)
68,2026-06-13T18:40:00,lost,BETFRED_BB_HAISCO_2,Haiti vs Scotland (Betfred BB qualifier #2),Shankland FGS & Under 5.5 & Double Chance Scot/Draw,5.05,,,,,,no corrected single-match model (prop/acca/outright)
69,2026-06-13T15:55:00,won,AUSTUR_BB_BOOST,Australia vs Turkey,Under 3.5 Goals & DC Australia/Türkiye & Under 4.5 Cards (100% boost),3.2035,0.4176,6.75,,0.81411224766786,,recompute_report.csv new_ev (corrected model-fair close)
70,2026-06-13T19:55:00,lost,BETFRED_FGS_HAISCO_SHANK,Haiti vs Scotland — Shankland First Goalscorer (Double Delight),Lawrence Shankland FGS,4.5,0.197,1.49,,,,no corrected single-match model (prop/acca/outright)
